,FIPS,property crimes,violent crimes
659,17099,1107,69
660,17101,0,0
661,17103,672,12
662,17105,369,10
663,17107,0,0
664,17109,0,0
665,17111,1773,132
666,17113,2229,463
667,17115,3782,698
668,17117,0,0
669,17119,1095,108
670,17121,1297,108
671,17123,0,0
672,17125,0,0
673,17127,0,0
674,17129,0,0
675,17131,0,0
676,17133,0,0
677,17135,168,102
678,17137,586,103
679,17139,64,4
680,17141,53,0
681,17143,4816,797
682,17145,0,0
683,17147,0,0
684,17149,0,0
685,17151,0,0
686,17153,0,0
687,17155,0,0
688,17157,125,31
689,17159,54,8
690,17161,2292,402
691,17163,2321,130
692,17165,455,37
693,17167,7126,1642
694,17169,0,0
695,17171,0,0
696,17173,0,0
697,17175,56,5
698,17177,1015,75
699,17179,1819,205
700,17181,115,7
701,17183,3426,408
702,17185,0,0
703,17187,0,0
704,17189,147,82
705,17191,0,0
706,17193,0,0
707,17195,962,60
708,17197,7462,803
709,17199,0,0
710,17201,12347,2387
711,17203,159,5
712,18000,195431,20485
713,18001,143,8
714,18003,11796,885
715,18005,2377,70
716,18007,21,1
717,18009,271,11
718,18011,532,10
719,18013,133,13
720,18015,287,13
721,18017,1048,52
722,18019,3778,200
723,18021,474,117
724,18023,441,15
725,18025,34,3
726,18027,1112,45
727,18029,170,49
728,18031,6,3
729,18033,522,28
730,18035,3505,389
731,18037,388,8
732,18039,7157,314
733,18041,1458,27
734,18043,3042,132
735,18045,79,10
736,18047,214,6
737,18049,40,3
738,18051,274,12
739,18053,2266,107
740,18055,153,10
741,18057,4171,210
742,18059,756,33
743,18061,529,13
744,18063,1836,130
745,18065,2274,22
746,18067,3318,259
747,18069,619,48
748,18071,1674,112
749,18073,237,153
750,18075,331,14
751,18077,17,7
752,18079,418,62
753,18081,3872,313
754,18083,1402,29
755,18085,1354,53
756,18087,330,14
757,18089,18311,2154
758,18091,4306,204
759,18093,877,51
760,18095,3871,216
761,18097,51958,9932
762,18099,653,15
763,18101,116,15
764,18103,287,8
765,18105,4050,328
766,18107,1292,65
767,18109,1290,29
768,18111,220,10
769,18113,531,21
770,18115,21,10
771,18117,37,22
772,18119,0,1
773,18121,215,16
774,18123,224,21
775,18125,17,5
776,18127,3846,341
777,18129,1,1
778,18131,236,22
779,18133,245,23
780,18135,413,25
781,18137,260,7
782,18139,238,12
783,18141,12617,1151
784,18143,363,40
785,18145,380,43
786,18147,7,1
787,18149,677,47
788,18151,1078,24
789,18153,56,4
790,18155,58,14
791,18157,5003,433
792,18159,327,20
793,18161,42,3
794,18163,6752,528
795,18165,166,23
796,18167,5262,209
797,18169,544,38
798,18171,21,3
799,18173,922,144
800,18175,19,6
801,18177,1887,160
802,18179,457,10
803,18181,238,8
804,18183,181,9
805,19000,71950,8507
806,19001,46,6
807,19003,57,3
808,19005,25,2
809,19007,289,38
810,19009,57,6
811,19011,194,4
812,19013,3991,691
813,19015,352,95
814,19017,202,74
815,19019,288,16
816,19021,456,47
817,19023,26,4
818,19025,123,6
819,19027,191,11
820,19029,225,16
821,19031,88,16
822,19033,1012,41
823,19035,118,1
824,19037,22,6
825,19039,186,12
826,19041,436,2
827,19043,45,13
828,19045,1383,211
829,19047,76,11
830,19049,898,71
831,19051,14,18
832,19053,44,4
833,19055,81,38
834,19057,1596,241
835,19059,221,9
836,19061,2213,417
837,19063,162,13
838,19065,146,23
839,19067,134,11
840,19069,9,0
841,19071,98,10
842,19073,82,3
843,19075,84,3
844,19077,64,2
845,19079,270,60
846,19081,116,4
847,19083,253,19
848,19085,188,8
849,19087,389,54
850,19089,132,7
851,19091,59,3
852,19093,67,9
853,19095,128,11
854,19097,164,11
855,19099,571,37
856,19101,362,18
857,19103,2886,412
858,19105,211,10
859,19107,14,0
860,19109,96,16
861,19111,1016,228
862,19113,7021,500
863,19115,34,5
864,19117,250,22
865,19119,90,15
866,19121,93,8
867,19123,420,49
868,19125,262,66
869,19127,1132,189
870,19129,300,30
871,19131,78,11
872,19133,2,0
873,19135,89,12
874,19137,196,11
875,19139,973,153
876,19141,130,11
877,19143,11,2
878,19145,309,12
879,19147,58,9
880,19149,305,28
881,19151,34,1
882,19153,15026,1730
883,19155,4923,475
884,19157,420,28
885,19159,37,2
886,19161,55,3
887,19163,6661,838
888,19165,6,0
889,19167,182,8
890,19169,2297,245
891,19171,135,28
892,19173,46,0
893,19175,269,17
894,19177,98,7
895,19179,1199,155
896,19181,747,79
897,19183,226,62
898,19185,51,9
899,19187,1796,197
900,19189,41,9
901,19191,158,16
902,19193,2891,358
903,19195,114,0
904,19197,129,5
905,20000,90842,11107
906,20001,449,51
907,20003,136,25
908,20005,483,58
909,20007,15,4
910,20009,922,105
911,20011,359,50
912,20013,135,37
913,20015,1973,187
914,20017,60,3
915,20019,45,11
916,20021,543,40
917,20023,28,2
918,20025,23,1
919,20027,180,30
920,20029,245,18
921,20031,64,14
922,20033,0,0
923,20035,958,147
924,20037,1806,160
925,20039,18,3
926,20041,518,53
927,20043,181,13
928,20045,5439,461
929,20047,35,5
930,20049,35,2
931,20051,740,73
932,20053,133,11
933,20055,1394,245
934,20057,941,159
935,20059,556,81
936,20061,959,190
937,20063,24,5
938,20065,68,6
939,20067,99,19
940,20069,24,2
941,20071,3,3
942,20073,217,25
943,20075,0,0
944,20077,87,8
945,20079,815,129
946,20081,2,0
