,FIPS,Normalized Median Income,Poverty Fraction
0,0,1.1674174276821332,14.3
1,1000,0.9425394643720247,17.5
2,1001,1.2338998522290539,11.2
3,1003,1.1305963925484541,13.3
4,1005,0.6695198572728699,32.8
5,1007,0.8901671208390834,18.1
6,1009,0.9651574360797709,14.6
7,1011,0.5626830659380283,34.7
8,1013,0.6460882894605287,29.4
9,1015,0.8679908155881176,19.0
10,1017,0.711803609108831,20.7
11,1019,0.8838908080322063,18.4
12,1021,0.9046258858978893,18.7
13,1023,0.7221711480416725,22.8
14,1025,0.7608053402084495,29.1
15,1027,0.8096675976901373,19.2
16,1029,0.8803109851719875,17.0
17,1031,1.0064416269872292,15.7
18,1033,0.8626675725037662,16.0
19,1035,0.6248882995350771,27.5
20,1037,0.8088307559825536,16.7
21,1039,0.7480202585648108,22.5
22,1041,0.7403492095786277,20.6
23,1043,0.8699666918421345,19.3
24,1045,0.9595552457595583,16.2
25,1047,0.6296768937506945,35.0
26,1049,0.7884676077646856,21.7
27,1051,1.1667897964014455,14.2
28,1053,0.7309114947653236,22.0
29,1055,0.8966991352788334,17.2
30,1057,0.7964408495897184,19.6
31,1059,0.7575277101870802,21.8
32,1061,0.7286799168784339,19.4
33,1063,0.6074308516907633,28.4
34,1065,0.7002505444235794,26.6
35,1067,0.8185939092376958,18.7
36,1069,0.9007903614047977,17.7
37,1071,0.8139447886400091,16.4
38,1073,1.0068135566350442,16.5
39,1075,0.7258671989168335,18.2
40,1077,0.9088100944358073,14.5
41,1079,0.8440710901130193,16.2
42,1081,0.8795206346703808,20.7
43,1083,1.0834775552908988,13.5
44,1085,0.6532014439749895,28.8
45,1087,0.6120102354794847,38.6
46,1089,1.3326006825179437,10.3
47,1091,0.7407676304324194,24.9
48,1093,0.7512281517772147,21.2
49,1095,0.8718495856841976,19.1
50,1097,0.9258258758233409,18.7
51,1099,0.7187540444023727,23.4
52,1101,0.9550223531768137,19.9
53,1103,0.937192975684685,15.9
54,1105,0.5660536783713511,31.0
55,1107,0.6898597598877495,28.0
56,1109,0.7259369357257988,27.6
57,1111,0.787305327615264,21.1
58,1113,0.779587787423104,19.9
59,1115,1.0600227418755692,13.8
60,1117,1.5204484002674772,6.9
61,1119,0.5313247475066311,35.1
62,1121,0.8661311673490429,18.9
63,1123,0.829914517893063,17.8
64,1125,0.9726425202420466,19.9
65,1127,0.8503706485228848,16.0
66,1129,0.8588320480106747,19.3
67,1131,0.5256063291714763,34.6
68,1133,0.7220549200267303,24.9
69,2000,1.5507606665643947,9.1
70,2013,1.172601197148554,13.9
71,2016,1.3522897082491472,9.1
72,2020,1.6785649917948038,7.6
73,2050,0.9718986609464166,20.7
74,2060,1.4974352533089277,7.8
75,2068,1.4555234311207816,4.8
76,2070,1.082780187201246,18.5
77,2090,1.5037813029247702,7.9
78,2100,1.1307591117693732,9.8
79,2105,0.9722240993882547,17.2
80,2110,1.6979518246871577,6.6
81,2122,1.328974368451748,8.7
82,2130,1.359681809999469,8.3
83,2150,1.454570361398256,6.9
84,2164,0.9818012878194894,16.1
85,2170,1.637466765711253,8.7
86,2180,1.1198336783648093,21.3
87,2185,1.7447452235028749,7.8
88,2188,1.2150941594114109,15.0
89,2195,1.1942196079277974,9.2
90,2198,1.004442505130224,15.4
91,2220,1.383950219519394,7.6
92,2230,1.4864865743013753,4.0
93,2240,1.2726735180137614,12.5
94,2261,1.4128677496370057,7.9
