,FIPS,Normalized Land area
0,0,1065.9998400353784
1,1000,15.28577555332192
2,1001,0.17941390489343606
3,1003,0.479827464035877
4,1005,0.2670745174653517
5,1007,0.1879071208339873
6,1009,0.1946075257337825
7,1011,0.18797653944330947
8,1013,0.23446286208594294
9,1015,0.18286370795670898
10,1017,0.18004470877814646
11,1019,0.16711775644219018
12,1021,0.20911601508212294
13,1023,0.275712607025358
14,1025,0.3737950655968201
15,1027,0.18228723167929417
16,1029,0.1690494047015906
17,1031,0.20492675291954826
18,1033,0.17886459241966904
19,1035,0.2565953256581044
20,1037,0.1964637189830501
21,1039,0.31101347896590087
22,1041,0.183760113477087
23,1043,0.22178943858403294
24,1045,0.16936631574414848
25,1047,0.2953912736679999
26,1049,0.23454133529648108
27,1051,0.1866726768682142
28,1053,0.285244083905337
29,1055,0.16147070348384923
30,1057,0.18944036663988637
31,1059,0.1912995780895593
32,1061,0.17336844948159374
33,1063,0.19531076642822048
34,1065,0.19435399689973623
35,1067,0.16954740776846727
36,1069,0.1750012959008682
37,1071,0.3253227670874905
38,1073,0.33540657464164186
39,1075,0.18255585151536705
40,1077,0.20152524106276032
41,1079,0.20846106559416996
42,1081,0.18336774742439627
43,1083,0.1690011134951056
44,1085,0.2160759852167751
45,1087,0.18377520447911355
46,1089,0.24193592628949834
47,1091,0.2948419611942329
48,1093,0.2240379978859912
49,1095,0.17078185173424038
50,1097,0.37106963063082227
51,1099,0.30957077917216114
52,1101,0.2367023667866853
53,1103,0.17485642228141315
54,1105,0.21720781036876752
55,1107,0.266027201924708
56,1109,0.2028502310406928
57,1111,0.17522162453045603
58,1113,0.19350890078624852
59,1115,0.19072008361173914
60,1117,0.23690760441424658
61,1119,0.27281211643585207
62,1121,0.22237496946266366
63,1123,0.21626009544149918
64,1125,0.39893365677267345
65,1127,0.23879699786797265
66,1129,0.32602902598233385
67,1131,0.2681671060120751
68,1133,0.18500964844488665
69,2000,172.2308746578292
70,2013,2.107289413787223
71,2016,1.32507448754383
72,2020,0.5145065866929254
73,2050,12.244839044355528
74,2060,0.1520690092212987
75,2068,3.8486310830314396
76,2070,5.604429932217107
77,2090,2.214818839627315
78,2100,0.6997999459759113
79,2105,2.271171659394917
80,2110,0.8154966221127811
81,2122,4.851856752154295
82,2130,1.4663655031177554
83,2150,1.9767945010631027
84,2164,7.138650616847112
85,2170,7.427157375390594
86,2180,6.930319333870371
87,2185,26.770052241141773
88,2188,10.736517537403515
89,2195,0.9905673366229715
90,2198,1.1840007823990872
91,2220,0.8663261351386603
92,2230,0.13652225893353057
93,2240,7.475723238112488
94,2261,10.334281969387426
95,2270,5.155517894932853
96,2275,0.7670695966095313
97,2282,2.3087603272426875
98,2290,43.91626161530076
99,4000,34.28496982971766
100,4001,3.379635940250232
101,4003,1.8609288057035354
102,4005,5.619554134448131
103,4007,1.4360386254451687
104,4009,1.3951933193600656
105,4011,0.5562935713044862
106,4012,1.3580785089759295
107,4013,2.77678662769379
108,4015,4.017550705115602
109,4017,3.0032361677036263
110,4019,2.77283278516283
111,4021,1.6194486276752393
112,4023,0.37332724453399657
113,4025,2.451835099256153
114,4027,1.6642326852892761
115,5000,15.705350682666532
116,5001,0.29843060147615025
117,5003,0.2792891745056541
118,5005,0.16729281206569832
119,5007,0.25575022954461674
120,5009,0.1781432425227992
121,5011,0.1959506249141469
122,5013,0.18971804107717521
123,5015,0.19017378933837747
124,5017,0.19446265211432748
125,5019,0.2613972825029577
126,5021,0.19300486131856123
127,5023,0.16711473824178488
128,5025,0.1804219838288106
129,5027,0.2312092420490153
130,5029,0.16668011738341976
131,5031,0.21345015086415264
132,5033,0.17900644783871877
133,5035,0.1840377879143758
134,5037,0.18603583658269313
135,5039,0.20143167685019558
136,5041,0.23184306413413108
137,5043,0.2500156487745217
138,5045,0.1955431678594296
139,5047,0.18376614987789763
140,5049,0.18658213085605482
141,5051,0.20456758707131598
142,5053,0.19069291980809133
143,5055,0.1743614374149418
144,5057,0.2195801158873437
145,5059,0.1856796889348662
146,5061,0.17763618485470656
147,5063,0.23057541996389957
148,5065,0.17523067913167198
149,5067,0.19133579649442306
150,5069,0.2628098002926442
151,5071,0.1991408627425629
152,5073,0.15944247281147877
153,5075,0.17735247401660714
154,5077,0.1818827928249822
155,5079,0.16947798915914508
156,5081,0.16064371657279344
157,5083,0.21372782530144144
158,5085,0.2326217598387019
159,5087,0.2517963870136565
160,5089,0.18018958239760152
161,5091,0.18881258095558126
162,5093,0.2718100739012881
163,5095,0.18324098300737313
164,5097,0.23538341320956344
165,5099,0.18647649384186885
166,5101,0.24776407127215805
167,5103,0.2211676893005384
168,5105,0.16642357034896815
169,5107,0.2099641293960159
170,5109,0.18127915274391956
171,5111,0.22889730053854543
172,5113,0.2588650123628999
173,5115,0.24524387393372155
174,5117,0.19556731346267212
175,5119,0.22931079399407334
176,5121,0.1968440122341196
177,5123,0.19158630712806404
178,5125,0.21839698132846094
179,5127,0.2693200585669047
180,5129,0.20104232899791022
181,5131,0.16054109775901276
182,5133,0.17056755950546312
183,5135,0.1824321052987492
184,5137,0.18302669077859587
185,5139,0.31365440432054986
186,5141,0.21373084350184676
187,5143,0.2843054235792846
188,5145,0.3124078875531555
189,5147,0.17710498158337146
190,5149,0.28068660129331413
191,6000,47.01729049433693
192,6001,0.22305104635345382
193,6003,0.22284279052548722
194,6005,0.17945615969911044
195,6007,0.4939164235278789
196,6009,0.30785945954234856
197,6011,0.34731337524060235
198,6013,0.21608503981799104
199,6015,0.3037426341895014
200,6017,0.5154724108226256
