,FIPS,Age 18 and over,Voting Age Fraction
0,0,234564071,0.7597326669705587
1,1000,3647277,0.7630708055842415
2,1001,39958,0.7322204101079328
3,1003,140367,0.7701259155625051
4,1005,21442,0.7809301817387188
5,1007,17714,0.7730307658738818
6,1009,43216,0.7539164718607166
7,1011,8484,0.777350192413414
8,1013,15891,0.7586289206091564
9,1015,91446,0.7712276085416456
10,1017,26512,0.7748648253689903
11,1019,20423,0.7858324675824387
12,1021,32683,0.7488715257887862
13,1023,10718,0.7733602713038459
14,1025,19444,0.7526806797507065
15,1027,10788,0.7743324720068906
16,1029,11421,0.7628239380176329
17,1031,37864,0.7580683911267718
18,1033,42394,0.7789005658852062
19,1035,10186,0.7700332627759299
20,1037,9169,0.7946095848860386
21,1039,29242,0.7743148417847213
22,1041,10598,0.7621170717675824
23,1043,61765,0.7681640673581573
24,1045,37774,0.7517064337028119
25,1047,32225,0.7353947968963943
26,1049,52743,0.7417204573260768
27,1051,60596,0.7641072847181065
28,1053,29640,0.7735066155171064
29,1055,80444,0.7703150435698554
30,1057,13404,0.7774491038802853
31,1059,23837,0.751860963916225
32,1061,20799,0.7763717805151176
33,1063,6851,0.7574350469872858
34,1065,11845,0.7515862944162437
35,1067,13384,0.7735521904982083
36,1069,76621,0.7545373078475976
37,1071,41242,0.7748323219418716
38,1073,503938,0.7653212162814784
39,1075,11337,0.7784262565229333
40,1077,72727,0.7844653701366642
41,1079,26375,0.7680771134861236
42,1081,108656,0.774747409926772
43,1083,62923,0.7601048537121596
44,1085,8567,0.7582086910346049
45,1087,17032,0.793958605258251
46,1089,255321,0.7625824719020582
47,1091,15836,0.7531269320397584
48,1093,24111,0.783435144268261
49,1095,69760,0.7499543104097013
50,1097,309411,0.7491936889818689
51,1099,17227,0.7467920929426045
52,1101,173196,0.7551174339365984
53,1103,90866,0.7604485731023517
54,1105,8038,0.7589462751392692
55,1107,15145,0.766990782943381
56,1109,26217,0.7968935225994711
57,1111,17440,0.7611399642124558
58,1113,39448,0.745046933726179
59,1115,63767,0.7628270309714928
60,1117,145123,0.7438962503524105
61,1119,10695,0.7770834847053695
62,1121,63006,0.7656487343694937
63,1123,32397,0.7784746251441753
64,1125,152870,0.7853341278974191
65,1127,51916,0.7745997642600302
66,1129,13097,0.7449519367499005
67,1131,8520,0.7300771208226221
68,1133,19185,0.7835729455971246
69,2000,522853,0.7361731605632533
70,2013,2770,0.8818847500795924
71,2016,4746,0.8534436252472577
72,2020,216040,0.7403041538450995
73,2050,10795,0.6345147828131429
74,2060,772,0.7743229689067201
75,2068,1415,0.7749178532311063
76,2070,3252,0.6709304724571901
77,2090,72580,0.7437923366229081
78,2100,2009,0.80103668261563
79,2105,1726,0.8027906976744186
80,2110,23939,0.765435651478817
81,2122,42289,0.7633393501805054
82,2130,10250,0.7605550196631298
83,2150,9698,0.7135079458505003
84,2164,1139,0.6983445738810545
85,2170,63276,0.7110062363054104
86,2180,6233,0.6566582385166456
87,2185,7179,0.7612937433722163
88,2188,4868,0.6470822810049183
89,2195,2924,0.7664482306684142
90,2198,4135,0.7438388199316424
91,2220,6791,0.7646661412003153
92,2230,816,0.8429752066115702
93,2240,5180,0.7369469341300328
94,2261,7288,0.7563304275633043
95,2270,4358,0.5842606247486258
96,2275,1849,0.780498100464331
97,2282,500,0.7552870090634441
98,2290,4036,0.7222619899785254
99,4000,4763003,0.7451486752929475
100,4001,48858,0.6831566878268408
101,4003,101096,0.7696922631827388
102,4005,102633,0.7635190929988618
103,4007,42126,0.7859768270612161
104,4009,26645,0.7158785599140247
105,4011,5974,0.7080715894275217
106,4012,16811,0.8204890429010688
107,4013,2809256,0.7359627698076847
108,4015,158921,0.7938667039653122
109,4017,75476,0.7024355740863107
110,4019,754947,0.770147399218373
111,4021,276070,0.7346781275780397
112,4023,32860,0.6929565584141713
113,4025,170764,0.809181502419053
114,4027,140566,0.7180857313628027
115,5000,2204443,0.7560030837629865
116,5001,14594,0.7673379252326621
117,5003,16523,0.7560975609756098
118,5005,34007,0.8191891696576976
119,5007,159491,0.7205734190540303
120,5009,28318,0.767363087011896
121,5011,8827,0.7670316301703163
122,5013,4266,0.7947093889716841
123,5015,21263,0.7747212708591416
124,5017,9076,0.7691525423728813
125,5019,18515,0.8051750380517504
126,5021,12493,0.7767829385064975
127,5023,20808,0.8012321909896034
128,5025,6538,0.7524456208999885
129,5027,18958,0.772157054415119
130,5029,16128,0.7581441263573544
131,5031,72302,0.7496863432286428
132,5033,45598,0.7360689610641183
133,5035,36093,0.709068405956544
134,5037,13376,0.7485170677112479
135,5039,6203,0.7642927550517497
136,5041,9631,0.740390528905289
137,5043,14148,0.7643848938354314
138,5045,85495,0.7550094050531186
139,5047,13694,0.7555310344827586
140,5049,9647,0.7878317680685994
141,5051,75931,0.7907502291093893
142,5053,13538,0.7583039265109506
143,5055,31500,0.7483962936564504
144,5057,16731,0.7400150382591003
145,5059,25237,0.7665461835191204
146,5061,10166,0.7372543331641164
147,5063,27855,0.7600895025513684
148,5065,11071,0.8083382009345794
149,5067,14263,0.7925209757181753
150,5069,59007,0.762019758507135
151,5071,19211,0.7521926389976508
152,5073,5869,0.7676913015042511
153,5075,13423,0.7707723227103072
154,5077,8264,0.7927858787413661
155,5079,11391,0.8059289656148295
156,5081,10034,0.7618252220788095
157,5083,16862,0.7543506464456673
158,5085,49525,0.7245157703786061
159,5087,11916,0.7581599541897308
160,5089,13670,0.8208731159550832
161,5091,32913,0.7572822235516083
162,5093,33376,0.7180722891566265
163,5095,6309,0.7742054239784023
164,5097,7489,0.7893960156002952
165,5099,6866,0.7631432699788818
166,5101,6594,0.7915966386554621
167,5103,19975,0.764739663093415
168,5105,8043,0.7700335088559119
169,5107,15644,0.7190329549110631
170,5109,8504,0.7531662385971127
171,5111,18624,0.7575967131757719
172,5113,15741,0.7618333172006582
173,5115,47513,0.7693914564238754
174,5117,6837,0.7845094664371772
175,5119,290563,0.7591496232508074
176,5121,13798,0.7678780121320051
177,5123,21581,0.7637129308514403
178,5125,80979,0.7559793872178345
179,5127,8350,0.7433454998664649
180,5129,6520,0.7956070774862721
181,5131,93862,0.746453111082835
182,5133,12018,0.7045374604291241
183,5135,13547,0.7846964782205746
184,5137,9839,0.793851863805067
185,5139,31578,0.7583755613727515
186,5141,13758,0.7954900260190807
187,5143,151581,0.7464654174771624
188,5145,58643,0.760846437282682
189,5147,5588,0.7696969696969697
190,5149,16354,0.7371647509578544
191,6000,27958916,0.7504952225744831
192,6001,1169650,0.7744636558604383
193,6003,919,0.7821276595744681
194,6005,31698,0.8321650783649681
195,6007,173832,0.7901454545454546
196,6009,36635,0.8037869147395673
197,6011,15009,0.7007329940706849
198,6013,788520,0.7516694073067849
199,6015,22472,0.7854596295001748
200,6017,139883,0.7725866849296911
201,6019,652943,0.7017496910097265
202,6021,20257,0.720325723632743
203,6023,107562,0.7989868001753043
204,6025,123430,0.707221763843051
205,6027,14646,0.7897120672921385
206,6029,585550,0.6973896866599733
207,6031,110434,0.7218757762351127
208,6033,50993,0.7885718704090312
209,6035,28602,0.8196589769307924
210,6037,7416397,0.755341211913505
211,6039,108016,0.7159778610015577
212,6041,200195,0.7931373287006406
213,6043,15009,0.8223658977590269
214,6045,68380,0.7784519757288738
215,6047,175095,0.6845183410022948
216,6049,7562,0.7807144332025604
217,6051,11223,0.7902408111533586
218,6053,304044,0.7325355312643805
219,6055,104998,0.769306292312652
220,6057,79658,0.8065489449597019
221,6059,2273573,0.7552816527098244
222,6061,263347,0.7558060109289617
223,6063,16406,0.8200129954515919
224,6065,1569533,0.7167992378659332
225,6067,1055735,0.7441104661161498
226,6069,39203,0.7093126345691074
227,6071,1440622,0.7078493128473229
228,6073,2371145,0.766043692511872
229,6075,697711,0.8664687948238713
230,6077,484582,0.7071031043066893
231,6079,218796,0.8114465002948409
232,6081,558679,0.7776160099992901
233,6083,325848,0.7686997959400323
234,6085,1352097,0.7589049876462275
235,6087,206964,0.7887888650898308
236,6089,137571,0.7762592891441856
237,6091,2688,0.8296296296296296
238,6093,35575,0.7923162583518931
239,6095,311809,0.7543571456220485
240,6097,377407,0.7799631312024932
241,6099,367295,0.7139524893430498
242,6101,68625,0.7243737927103455
243,6103,47303,0.7453634401147126
244,6105,11266,0.8172058610184245
245,6107,298055,0.674059600297617
246,6109,45683,0.8251241759234174
247,6111,611403,0.7426085667992197
248,6113,155218,0.7728094239951406
249,6115,51165,0.7090984685745964
250,8000,3803587,0.7563012059979368
251,8001,315480,0.7143973206703759
252,8003,11617,0.7521528002589835
253,8005,424679,0.7424419102697014
254,8007,9676,0.8007282356835485
255,8009,2974,0.7851108764519535
256,8011,5403,0.8313586705647023
257,8013,231813,0.7869618796402855
258,8014,41237,0.7378374993290272
259,8015,14821,0.8322196642147229
260,8017,1386,0.7549019607843137
261,8019,7517,0.8271346830985915
262,8021,5920,0.7170542635658915
263,8023,2788,0.7911464245175936
264,8025,5034,0.8645028335909325
265,8027,3525,0.8284371327849589
266,8029,24101,0.7786572757818557
267,8031,471392,0.7854464990885733
268,8033,1602,0.7761627906976745
269,8035,198453,0.6951920550680468
270,8037,39397,0.754775178650114
271,8039,17232,0.7464264056137919
272,8041,459587,0.7385735613398193
273,8043,38613,0.824641209636084
274,8045,41173,0.7301601376154924
275,8047,4482,0.8237456349935673
276,8049,11825,0.7966718318399245
277,8051,12544,0.818585225789611
278,8053,675,0.800711743772242
279,8055,5523,0.8229772016092982
280,8057,1134,0.8134863701578192
281,8059,415453,0.77721156202588
282,8061,1084,0.7753934191702432
283,8063,6431,0.7776299879081016
284,8065,5488,0.7507523939808481
285,8067,40822,0.7952234386566408
286,8069,235573,0.7862129960284351
287,8071,12266,0.7909976139807828
288,8073,4347,0.795134443021767
289,8075,18167,0.7999911929191069
290,8077,112206,0.7647471766526038
291,8079,611,0.8581460674157303
292,8081,10062,0.7293947082276186
293,8083,19536,0.7650675543371842
294,8085,31097,0.7533918015311561
295,8087,20284,0.7203380801875067
296,8089,14171,0.7525357123891455
297,8091,3639,0.8203336339044184
298,8093,13098,0.8082191780821918
299,8095,3320,0.7474110760918505
300,8097,14149,0.8251108000933054
301,8099,9147,0.7287865508724405
302,8101,120148,0.7553485097099891
303,8103,5045,0.7568256825682568
304,8105,8957,0.7475379736271073
305,8107,18600,0.7911863541622357
306,8109,4692,0.768172888015717
307,8111,571,0.8168812589413448
308,8113,5912,0.8033700231009648
309,8115,1919,0.8066414459857083
310,8117,23110,0.8255340430092163
311,8119,18570,0.7952890792291221
312,8121,3689,0.7663066057332779
313,8123,182424,0.7215425689706318
314,8125,7396,0.7364333366523947
315,9000,2757082,0.7714065958478463
316,9001,689810,0.7523867591448351
317,9003,689971,0.7717675562127663
318,9005,148975,0.7843803145419029
319,9007,130578,0.7881527801250634
320,9009,669503,0.7762560624805067
321,9011,214456,0.7825290543868931
322,9013,121807,0.7977352954660065
323,9015,91982,0.7766913229979396
324,10000,692169,0.7708461869135148
325,10001,121931,0.7512229683938143
326,10003,413400,0.7677179611461171
327,10005,156838,0.7955464252200157
328,11000,500908,0.8324561301462633
329,11001,500908,0.8324561301462633
330,12000,14799219,0.7871376515785337
331,12001,203051,0.8209520652068442
332,12003,20068,0.7401069518716578
333,12005,131776,0.78042309241229
334,12007,22885,0.8024193548387096
335,12009,435690,0.8018204705397367
336,12011,1356717,0.7761245856849799
337,12013,11493,0.7858461538461539
338,12015,137100,0.8569928365150208
339,12017,118842,0.8414426916650146
340,12019,140695,0.737144054698347
341,12021,258873,0.8051536451853695
342,12023,52338,0.7750218418207934
343,12027,27027,0.7752567265217142
344,12029,13278,0.8085495067592254
345,12031,660749,0.7645230676310336
346,12033,233465,0.7844425255108041
347,12035,76660,0.8010784149807725
348,12037,9579,0.8294224608191185
349,12039,35184,0.7584556683696566
350,12041,13308,0.7856425999173505
351,12043,10467,0.8124029804408569
352,12045,13289,0.8377356111706487
353,12047,11886,0.8031623758362052
354,12049,20056,0.7232339259312682
355,12051,28254,0.7218702095043433
356,12053,138620,0.8023012189051847
357,12055,80814,0.8180713866337336
358,12057,935018,0.760655892407092
359,12059,15645,0.785115672203543
360,12061,112076,0.8119801779349117
361,12063,39839,0.800848309411812
362,12065,12013,0.813833751100874
363,12067,7085,0.7987598647125141
364,12069,235311,0.792154235622046
365,12071,497885,0.8046574244368522
366,12073,221514,0.8040814993084973
367,12075,32172,0.7885100855371192
368,12077,6588,0.7875672444710101
369,12079,15037,0.7821993341656263
370,12081,256550,0.7946833192393591
371,12083,267117,0.8062741097139131
372,12085,120572,0.824040787872989
373,12086,1950707,0.7813970722249929
374,12087,62089,0.8494869339170885
375,12089,57395,0.7828654827181711
376,12091,140434,0.7766422227383836
377,12093,30412,0.7603760376037604
378,12095,875809,0.764260582430739
379,12097,198269,0.7379235908219662
380,12099,1051250,0.7963206765373818
381,12101,366124,0.7878768315698186
382,12103,753654,0.8222798300568878
383,12105,460359,0.7645952881189846
384,12107,57579,0.7742859448120059
385,12109,146188,0.7692526270923337
386,12111,215781,0.7767802180791896
387,12113,115163,0.7607945987368866
388,12115,319713,0.8425739495266809
389,12117,325537,0.7701044194947932
390,12119,84908,0.9088846071505031
391,12121,32102,0.7725927173834565
392,12123,18125,0.803057155516172
393,12125,12525,0.8062439652397811
394,12127,401320,0.8114146378941878
395,12129,23851,0.7749870028593709
396,12131,43713,0.7941609287284487
397,12133,19626,0.7883194087403599
398,13000,7196101,0.742811597401352
399,13001,13542,0.7425970607589384
400,13003,5945,0.7098507462686567
401,13005,8270,0.7453136265320837
